TIMESTAMP,stage,device,interface,queueIndex,pfc_tx,pfc_rx
2026-09-04 03:21:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet7/1,2,0,0
2026-09-04 03:21:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet24/1,3,0,0
2026-09-04 03:21:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet24/1,2,0,0
2026-09-04 03:21:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet7/1,3,0,0
2026-09-04 03:21:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet24/1,6,0,0
2026-09-04 03:22:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-15t1,ethernet6/1,4,0,0
2026-09-04 03:22:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-15t1,ethernet6/1,3,0,0
2026-09-04 03:22:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-15t1,ethernet6/1,2,0,0
2026-09-04 03:22:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-18t1,ethernet6/1,4,0,7
2026-09-04 03:22:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-18t1,ethernet6/1,6,0,57
2026-09-04 03:22:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-18t1,ethernet6/1,3,0,0
2026-09-04 03:22:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-18t1,ethernet6/1,2,0,0
2026-09-04 03:22:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-15t1,ethernet6/1,6,0,13
2026-09-04 03:22:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-15t1,ethernet5/1,6,0,0
2026-09-04 03:22:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-15t1,ethernet5/1,4,0,0
2026-09-04 03:22:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-18t1,ethernet5/1,3,0,0
2026-09-04 03:22:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-18t1,ethernet5/1,6,4,0
2026-09-04 03:22:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-18t1,ethernet5/1,4,0,0
2026-09-04 03:22:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-15t1,ethernet5/1,3,0,0
2026-09-04 03:22:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-15t1,ethernet5/1,2,0,0
2026-09-04 03:22:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-18t1,ethernet5/1,2,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet26/1,6,57,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet26/1,4,7,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet26/1,3,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet26/1,2,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet25/1,6,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet25/1,4,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet25/1,3,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet25/1,2,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet24/1,6,18,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet24/1,4,12,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet24/1,3,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet24/1,2,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet23/1,6,13,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet23/1,4,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet23/1,3,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet23/1,2,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet10/1,6,56,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet10/1,4,24,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet10/1,3,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet10/1,2,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet9/1,6,14,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet9/1,4,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet9/1,3,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet9/1,2,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet8/1,6,8,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet8/1,4,21,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet8/1,3,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet8/1,2,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet7/1,6,16,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet7/1,4,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet7/1,3,0,0
2026-09-04 03:23:00.0000000,1. 03t0 PFC TX toward T1,lvl02-0101-0827-03t0,ethernet7/1,2,0,0
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-17t1,ethernet6/1,2,0,0
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-17t1,ethernet6/1,6,0,0
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-17t1,ethernet6/1,4,0,0
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-17t1,ethernet6/1,3,0,0
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-14t1,ethernet6/1,6,0,56
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-14t1,ethernet6/1,2,0,0
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-14t1,ethernet6/1,3,0,0
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-14t1,ethernet6/1,4,0,24
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-16t1,ethernet6/1,6,0,18
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-16t1,ethernet6/1,4,0,12
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-16t1,ethernet6/1,3,0,0
2026-09-04 03:23:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-16t1,ethernet6/1,2,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-17t1,ethernet5/1,6,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-17t1,ethernet5/1,4,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-16t1,ethernet5/1,3,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-17t1,ethernet5/1,3,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-17t1,ethernet5/1,2,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-14t1,ethernet5/1,3,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-14t1,ethernet5/1,4,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-14t1,ethernet5/1,6,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-14t1,ethernet5/1,2,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-16t1,ethernet5/1,6,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-16t1,ethernet5/1,2,0,0
2026-09-04 03:23:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-16t1,ethernet5/1,4,0,0
2026-09-04 03:24:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-12t1,ethernet6/1,6,0,8
2026-09-04 03:24:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-12t1,ethernet6/1,2,0,0
2026-09-04 03:24:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-12t1,ethernet6/1,3,0,0
2026-09-04 03:24:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-12t1,ethernet6/1,4,0,21
2026-09-04 03:24:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-12t1,ethernet5/1,3,0,0
2026-09-04 03:24:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-12t1,ethernet5/1,6,0,0
2026-09-04 03:24:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-12t1,ethernet5/1,2,0,0
2026-09-04 03:24:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-12t1,ethernet5/1,4,0,0
2026-09-04 03:25:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-13t1,ethernet6/1,3,0,0
2026-09-04 03:25:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-13t1,ethernet6/1,2,0,0
2026-09-04 03:25:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-13t1,ethernet6/1,4,0,0
2026-09-04 03:25:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-13t1,ethernet6/1,6,0,14
2026-09-04 03:25:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-13t1,ethernet5/1,4,0,0
2026-09-04 03:25:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-13t1,ethernet5/1,6,0,0
2026-09-04 03:25:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-13t1,ethernet5/1,2,0,0
2026-09-04 03:25:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-13t1,ethernet5/1,3,0,0
2026-09-04 03:26:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-11t1,ethernet6/1,6,0,16
2026-09-04 03:26:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-11t1,ethernet6/1,4,0,0
2026-09-04 03:26:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-11t1,ethernet6/1,3,0,0
2026-09-04 03:26:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-11t1,ethernet6/1,2,0,0
2026-09-04 03:26:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-11t1,ethernet5/1,4,0,0
2026-09-04 03:26:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-11t1,ethernet5/1,3,0,0
2026-09-04 03:26:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-11t1,ethernet5/1,2,0,0
2026-09-04 03:26:00.0000000,3. T1 PFC TX toward 03lt0,lvl02-0101-0827-11t1,ethernet5/1,6,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet26/1,3,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet26/1,4,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet26/1,6,0,4
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet23/1,2,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet26/1,2,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet25/1,6,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet23/1,6,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet10/1,3,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet23/1,3,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet10/1,6,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet24/1,2,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet10/1,4,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet9/1,4,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet10/1,2,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet9/1,6,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet24/1,3,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet24/1,4,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet24/1,6,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet25/1,3,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet23/1,4,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet25/1,4,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet8/1,6,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet8/1,4,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet8/1,3,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet8/1,2,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet7/1,6,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet7/1,4,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet7/1,3,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet7/1,2,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet9/1,3,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet9/1,2,0,0
2026-09-04 03:26:00.0000000,4. 03lt0 PFC RX from T1,lvl02-0101-0827-03lt0,ethernet25/1,2,0,0
2026-09-04 03:27:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-15t1,ethernet6/1,6,0,0
2026-09-04 03:27:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-15t1,ethernet6/1,4,0,0
2026-09-04 03:27:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-15t1,ethernet6/1,3,0,0
2026-09-04 03:27:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-15t1,ethernet6/1,2,0,0
2026-09-04 03:27:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-18t1,ethernet6/1,3,0,0
2026-09-04 03:27:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-18t1,ethernet6/1,6,0,0
2026-09-04 03:27:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-18t1,ethernet6/1,2,0,0
2026-09-04 03:27:00.0000000,2. T1 PFC RX from 03t0,lvl02-0101-0827-18t1,ethernet6/1,4,0,0
